frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
1,4,278.025,191.46,278.025,189.164,2.2960000000000207,-1.5707963267948966,6.123233995736766e-17
1,21,812.984,231.639,821.02,231.639,8.035999999999945,0.0,1.0
1,22,869.235,416.464,865.791,423.352,7.701018114509237,-1.1071487177940937,0.44721359549995504
1,23,599.068,32.051500000000004,600.225,29.7369,2.587667320194023,-1.1072524127921508,0.4471208454699221
1,24,915.017,91.075,917.332,91.075,2.314999999999941,0.0,1.0
1,25,917.451,260.339,923.191,262.635,6.182169198590417,0.3805063771123632,0.92847669088526
1,26,1040.01,73.715,1036.54,71.401,4.170790812304091,0.5881355999558782,0.8319765138456027
2,4,278.025,189.164,274.581,196.052,7.701018114509263,-1.1071487177940955,0.44721359549995343
2,21,821.02,231.639,817.576,236.231,5.739999999999964,-0.9272952180016162,0.5999999999999969
2,22,865.791,423.352,865.791,425.648,2.296000000000049,1.5707963267948966,6.123233995736766e-17
2,23,600.225,29.7369,597.91,34.366200000000006,5.175871278345349,-1.1070882353167932,0.44726769185421594
2,24,917.332,91.075,915.017,88.76,3.2739043968936716,0.7853981633974606,0.7071067811865388
2,25,923.191,262.635,917.451,258.043,7.350786624572908,0.6747409422235503,0.7808688094430318
2,26,1036.54,71.401,1037.69,70.243,1.6320122548560143,-0.7888643540219188,0.70465157144396
3,4,274.581,196.052,280.321,196.052,5.740000000000009,0.0,1.0
3,21,817.576,236.231,819.872,236.231,2.2959999999999354,0.0,1.0
3,22,865.791,425.648,873.827,423.352,8.357566152893995,-0.2782996590051188,0.9615239476408212
3,23,597.91,34.366200000000006,597.91,35.5235,1.1572999999999922,1.5707963267948966,6.123233995736766e-17
3,24,915.017,88.76,919.646,89.918,4.771645942439477,0.24513114863956356,0.9701055056975487
3,25,917.451,258.043,917.451,258.043,0.0,,
3,26,1037.69,70.243,1041.17,67.9286,4.179335755834901,-0.5868877176217192,0.8326682045445812
4,4,280.321,196.052,280.321,194.904,1.1479999999999961,-1.5707963267948966,6.123233995736766e-17
4,21,819.872,236.231,815.28,236.231,4.5919999999999845,0.0,1.0
4,22,873.827,423.352,866.939,418.76,8.27834572846534,0.5880026035475637,0.8320502943378458
4,23,597.91,35.5235,600.225,34.366200000000006,2.5881592474189516,-0.46357849214157415,0.894458098862616
4,24,919.646,89.918,920.804,88.76,1.637659305228056,-0.7853981633974422,0.7071067811865519
4,25,917.451,258.043,917.451,258.043,0.0,,
4,26,1041.17,67.9286,1036.54,66.7712,4.772470509076094,0.2449583352380163,0.9701474301821164
5,4,280.321,194.904,280.321,196.052,1.1479999999999961,1.5707963267948966,6.123233995736766e-17
5,21,815.28,236.231,819.872,236.231,4.5919999999999845,0.0,1.0
5,22,866.939,418.76,864.643,421.056,3.247034339208575,-0.7853981633974606,0.7071067811865388
5,23,600.225,34.366200000000006,600.225,34.366200000000006,0.0,,
5,24,920.804,88.76,919.646,91.075,2.5884723293865872,-1.10697594654494,0.4473681201276108
5,25,917.451,258.043,917.451,258.043,0.0,,
5,26,1036.54,66.7712,1038.85,67.9286,2.5837327183746717,0.46447843236350317,0.8940553268424293
6,4,280.321,196.052,278.025,199.496,4.139172864232701,-0.9827937232473215,0.5547001962252354
6,21,819.872,236.231,819.872,238.527,2.2959999999999923,1.5707963267948966,6.123233995736766e-17
6,22,864.643,421.056,868.087,421.056,3.44399999999996,0.0,1.0
6,23,600.225,34.366200000000006,596.753,40.1528,6.748297826859732,-1.0303717438030255,0.5145001138184276
6,24,919.646,91.075,919.646,91.075,0.0,,
6,25,917.451,258.043,917.451,258.043,0.0,,
6,26,1038.85,67.9286,1033.06,69.086,5.9045469563718065,-0.1972959165731429,0.980600212477228
7,4,278.025,199.496,278.025,207.531,8.034999999999997,1.5707963267948966,6.123233995736766e-17
7,21,819.872,238.527,821.02,236.231,2.5670060381697626,-1.1071487177940806,0.44721359549996675
7,22,868.087,421.056,869.235,421.056,1.1480000000000246,0.0,1.0
7,23,596.753,40.1528,595.596,42.4675,2.587756767936295,-1.10726969111023,0.4471053904044979
7,24,919.646,91.075,924.276,89.918,4.772373518491606,-0.24487702161682084,0.970167146821188
7,25,917.451,258.043,917.451,258.043,0.0,,
7,26,1033.06,69.086,1035.38,65.6139,4.17586858150502,-0.9817443290269234,0.5555730394092085
8,4,278.025,207.531,279.173,207.531,1.1480000000000246,0.0,1.0
8,21,821.02,236.231,823.316,236.231,2.296000000000049,0.0,1.0
8,22,869.235,421.056,869.235,421.056,0.0,,
8,23,595.596,42.4675,596.753,45.939400000000006,3.6596090788498334,1.2491235416308513,0.31615398668856426
8,24,924.276,89.918,925.433,91.075,1.636245091665696,0.7853981633974298,0.7071067811865606
8,25,917.451,258.043,917.451,258.043,0.0,,
8,26,1035.38,65.6139,1034.22,67.9286,2.5890994747209306,-1.106233251852964,0.4480322256158636
8,29,625.686,216.066,625.686,213.751,2.3149999999999977,-1.5707963267948966,6.123233995736766e-17
9,4,279.173,207.531,281.469,205.235,3.247034339208615,-0.7853981633974483,0.7071067811865476
9,21,823.316,236.231,823.316,238.527,2.2959999999999923,1.5707963267948966,6.123233995736766e-17
9,22,869.235,421.056,871.531,418.76,3.247034339208575,-0.7853981633974606,0.7071067811865388
9,23,596.753,45.939400000000006,595.596,43.62479999999999,2.5876673201940297,1.1072524127921521,0.4471208454699209
9,24,925.433,91.075,925.433,89.918,1.1569999999999965,-1.5707963267948966,6.123233995736766e-17
9,25,917.451,258.043,917.451,258.043,0.0,,
9,26,1034.22,67.9286,1036.54,65.6139,3.2772299415817185,-0.7842546163092518,0.7079149285692826
9,29,625.686,213.751,626.844,219.538,5.90172288403989,1.3733010759873137,0.19621388919015678
10,4,281.469,205.235,280.321,212.123,6.983011384782328,-1.4056476493802739,0.16439898730535327
10,21,823.316,238.527,823.316,238.527,0.0,,
10,22,871.531,418.76,868.087,423.352,5.739999999999964,-0.9272952180016162,0.5999999999999969
10,23,595.596,43.62479999999999,595.596,44.7821,1.1573000000000064,1.5707963267948966,6.123233995736766e-17
10,24,925.433,89.918,924.276,91.075,1.636245091665696,-0.7853981633974298,0.7071067811865606
10,25,917.451,258.043,918.599,260.339,2.5670060381697626,1.1071487177940806,0.44721359549996675
10,26,1036.54,65.6139,1035.38,62.141999999999996,3.660558647255866,1.2483460308122134,0.3168915216996857
10,29,626.844,219.538,624.529,219.538,2.3150000000000546,0.0,1.0
11,4,280.321,212.123,276.877,209.827,4.13917286423267,0.5880026035475637,0.8320502943378458
11,21,823.316,238.527,825.612,241.971,4.139172864232638,0.9827937232473443,0.5547001962252165
11,22,868.087,423.352,868.087,424.5,1.1480000000000246,1.5707963267948966,6.123233995736766e-17
11,23,595.596,44.7821,596.753,48.254099999999994,3.6597039497751793,1.2491321804166928,0.3161457909924969
11,24,924.276,91.075,923.118,91.075,1.1579999999999018,0.0,1.0
11,25,918.599,260.339,918.599,260.339,0.0,,
11,26,1035.38,62.141999999999996,1035.38,65.6139,3.471900000000005,1.5707963267948966,6.123233995736766e-17
11,29,624.529,219.538,626.844,220.695,2.5880251157977994,0.46347480789658346,0.89450445664876
12,4,276.877,209.827,276.877,214.419,4.592000000000013,1.5707963267948966,6.123233995736766e-17
12,21,825.612,241.971,827.908,244.267,3.2470343392086556,0.785398163397436,0.7071067811865562
12,22,868.087,424.5,864.643,423.352,3.6302947538732693,0.3217505543966521,0.9486832980505107
12,23,596.753,48.254099999999994,596.753,50.56870000000001,2.314600000000013,1.5707963267948966,6.123233995736766e-17
12,24,923.118,91.075,928.905,91.075,5.786999999999921,0.0,1.0
12,25,918.599,260.339,918.599,260.339,0.0,,
12,26,1035.38,65.6139,1038.85,66.7712,3.6579014871916105,0.32191481053101145,0.9486313429025467
12,29,626.844,220.695,623.372,216.066,5.786400003456429,0.9272606541968285,0.6000276506854245
13,4,276.877,214.419,278.025,214.419,1.1479999999999677,0.0,1.0
13,21,827.908,244.267,829.056,246.563,2.5670060381697626,1.1071487177940806,0.44721359549996675
13,22,864.643,423.352,870.383,416.464,8.966166627940828,-0.876058050598191,0.6401843996644817
13,23,596.753,50.56870000000001,596.753,50.56870000000001,0.0,,
13,24,928.905,91.075,931.22,91.075,2.3150000000000546,0.0,1.0
13,25,918.599,260.339,918.599,260.339,0.0,,
13,26,1038.85,66.7712,1037.69,63.2993,3.6605586472558524,1.2483460308122123,0.31689152169968676
13,29,623.372,216.066,628.001,216.066,4.629000000000019,0.0,1.0
14,4,278.025,214.419,276.877,214.419,1.1479999999999677,0.0,1.0
14,21,829.056,246.563,826.76,246.563,2.296000000000049,0.0,1.0
14,22,870.383,416.464,870.383,421.056,4.5919999999999845,1.5707963267948966,6.123233995736766e-17
14,23,596.753,50.56870000000001,593.281,54.0407,4.910149488559448,-0.785398163397434,0.7071067811865577
14,24,931.22,91.075,931.22,94.547,3.471999999999994,1.5707963267948966,6.123233995736766e-17
14,25,918.599,260.339,918.599,260.339,0.0,,
14,26,1037.69,63.2993,1034.22,63.2993,3.4700000000000273,0.0,1.0
14,29,628.001,216.066,625.686,213.751,3.2739043968936716,0.7853981633974606,0.7071067811865388
15,4,276.877,214.419,283.765,216.715,7.260589507746575,0.3217505543966422,0.9486832980505138
15,21,826.76,246.563,826.76,241.971,4.5919999999999845,-1.5707963267948966,6.123233995736766e-17
15,22,870.383,421.056,870.383,419.908,1.1479999999999677,-1.5707963267948966,6.123233995736766e-17
15,23,593.281,54.0407,594.439,56.3553,2.5881145956081677,1.1069068046110793,0.4474299561406798
15,24,931.22,94.547,931.22,94.547,0.0,,
15,25,918.599,260.339,918.599,260.339,0.0,,
15,26,1034.22,63.2993,1034.22,62.141999999999996,1.1573000000000064,-1.5707963267948966,6.123233995736766e-17
15,29,625.686,213.751,630.316,212.594,4.77237351849161,-0.24487702161682373,0.9701671468211873
16,4,283.765,216.715,281.469,214.419,3.247034339208615,0.7853981633974483,0.7071067811865476
16,21,826.76,241.971,823.316,246.563,5.739999999999964,-0.9272952180016162,0.5999999999999969
16,22,870.383,419.908,870.383,419.908,0.0,,
16,23,594.439,56.3553,593.281,57.512699999999995,1.6372350961300657,-0.7851390289124394,0.707289993194735
16,24,931.22,94.547,931.22,94.547,0.0,,
16,25,918.599,260.339,918.599,260.339,0.0,,
16,26,1034.22,62.141999999999996,1030.75,63.2993,3.6579014871918303,-0.32191481053099547,0.9486313429025518
16,29,630.316,212.594,636.102,213.751,5.900546161161642,0.19736232290370723,0.9805871934507252
17,4,281.469,214.419,281.469,217.863,3.4439999999999884,1.5707963267948966,6.123233995736766e-17
17,21,823.316,246.563,824.464,247.711,1.6235171696043478,0.7853981633974483,0.7071067811865476
17,22,870.383,419.908,869.235,419.908,1.1480000000000246,0.0,1.0
17,23,593.281,57.512699999999995,592.124,59.827299999999994,2.5876673201939657,-1.107252412792189,0.44712084546988795
17,24,931.22,94.547,931.22,92.232,2.3149999999999977,-1.5707963267948966,6.123233995736766e-17
17,25,918.599,260.339,918.599,260.339,0.0,,
17,26,1030.75,63.2993,1034.22,63.2993,3.4700000000000273,0.0,1.0
17,29,636.102,213.751,640.731,216.066,5.17560296004245,0.4637340170192532,0.8943885448203029
18,4,281.469,217.863,278.025,217.863,3.444000000000017,0.0,1.0
18,21,824.464,247.711,825.612,252.303,4.733325258209038,1.3258176636680499,0.2425356250363161
18,22,869.235,419.908,870.383,419.908,1.1480000000000246,0.0,1.0
18,23,592.124,59.827299999999994,592.124,58.67,1.1572999999999922,-1.5707963267948966,6.123233995736766e-17
18,24,931.22,92.232,931.22,92.232,0.0,,
18,25,918.599,260.339,918.599,260.339,0.0,,
18,26,1034.22,63.2993,1035.38,63.2993,1.1600000000000819,0.0,1.0
18,29,640.731,216.066,645.361,224.16699999999997,9.330761008620867,1.0515704539512296,0.49620818663367866
19,4,278.025,217.863,278.025,224.75099999999998,6.887999999999977,1.5707963267948966,6.123233995736766e-17
19,21,825.612,252.303,827.908,250.007,3.2470343392086556,-0.785398163397436,0.7071067811865562
19,22,870.383,419.908,868.087,423.352,4.139172864232654,-0.9827937232473138,0.5547001962252418
19,23,592.124,58.67,590.967,64.4566,5.901134514650552,-1.3734539407568567,0.19606399364860996
19,24,931.22,92.232,937.006,92.232,5.7859999999999445,0.0,1.0
19,25,918.599,260.339,918.599,260.339,0.0,,
19,26,1035.38,63.2993,1031.91,65.6139,4.171123728685135,-0.5882552765567085,0.8319101100110202
19,29,645.361,224.16699999999997,645.361,216.066,8.10099999999997,-1.5707963267948966,6.123233995736766e-17
20,4,278.025,224.75099999999998,279.173,223.603,1.6235171696043076,-0.7853981633974235,0.707106781186565
20,21,827.908,250.007,824.464,252.303,4.139172864232623,-0.5880026035475714,0.8320502943378415
20,22,868.087,423.352,868.087,423.352,0.0,,
20,23,590.967,64.4566,589.809,64.4566,1.1580000000000155,0.0,1.0
20,24,937.006,92.232,939.321,98.019,6.232864028678977,1.1902601567434594,0.3714183382387545
20,25,918.599,260.339,918.599,260.339,0.0,,
20,26,1031.91,65.6139,1034.22,65.6139,2.3099999999999454,0.0,1.0
20,29,645.361,216.066,648.833,212.594,4.9101494885593775,-0.7853981633974524,0.7071067811865447
21,4,279.173,223.603,278.025,223.603,1.1480000000000246,0.0,1.0
21,21,824.464,252.303,823.316,252.303,1.1480000000000246,0.0,1.0
21,22,868.087,423.352,866.939,423.352,1.1480000000000246,0.0,1.0
21,23,589.809,64.4566,589.809,62.141999999999996,2.3145999999999987,-1.5707963267948966,6.123233995736766e-17
21,24,939.321,98.019,939.321,98.019,0.0,,
21,25,918.599,260.339,918.599,260.339,0.0,,
